State,Percentage,Date
Durango,4.2108,2021/09/01
Durango,3.43067597,2021/12/01
Durango,3.5752,2022/03/01
Durango,3.26514005,2022/06/01
Durango,3.25674844,2022/09/01
Durango,3.08719657,2022/12/01
Durango,2.9873727,2023/03/01
Durango,2.87200783,2023/06/01
Durango,3.0968583,2023/09/01
Guanajuato,3.55996596,2020/03/01
Guanajuato,4.362795365,2020/06/01
Guanajuato,6.64331139,2020/09/01
Guanajuato,5.33650213,2020/12/01
Guanajuato,5.9121,2021/03/01
Guanajuato,5.6089,2021/06/01
Guanajuato,5.4138,2021/09/01
Guanajuato,3.91122883,2021/12/01
Guanajuato,3.6362,2022/03/01
Guanajuato,2.93239965,2022/06/01
Guanajuato,4.01364072,2022/09/01
Guanajuato,3.07080418,2022/12/01
Guanajuato,2.89609958,2023/03/01
Guanajuato,3.40809631,2023/06/01
Guanajuato,3.17500295,2023/09/01
Guerrero,1.58398893,2020/03/01
Guerrero,3.808797106,2020/06/01
Guerrero,3.28629659,2020/09/01
Guerrero,2.4047663,2020/12/01
Guerrero,1.6917,2021/03/01
Guerrero,1.5095,2021/06/01
Guerrero,1.5939,2021/09/01
Guerrero,1.41565041,2021/12/01
Guerrero,1.6038,2022/03/01
Guerrero,1.4893519,2022/06/01
Guerrero,1.7187504,2022/09/01
Guerrero,0.80639112,2022/12/01
Guerrero,1.79718728,2023/03/01
Guerrero,0.94909533,2023/06/01
Guerrero,1.14981711,2023/09/01
Hidalgo,1.86791099,2020/03/01
Hidalgo,4.061538252,2020/06/01
Hidalgo,3.33657922,2020/09/01
Hidalgo,2.19262701,2020/12/01
Hidalgo,4.0229,2021/03/01
Hidalgo,2.2253,2021/06/01
Hidalgo,2.8767,2021/09/01
Hidalgo,2.70084556,2021/12/01
Hidalgo,2.2283,2022/03/01
Hidalgo,2.64529193,2022/06/01
Hidalgo,2.30357053,2022/09/01
Hidalgo,2.20085081,2022/12/01
Hidalgo,2.51058923,2023/03/01
Hidalgo,2.74172012,2023/06/01
Hidalgo,2.61026238,2023/09/01
Jalisco,2.937456,2020/03/01
Jalisco,4.159806279,2020/06/01
Jalisco,5.00079393,2020/09/01
Jalisco,4.05613159,2020/12/01
Jalisco,3.7194,2021/03/01
Jalisco,3.3463,2021/06/01
Jalisco,3.3864,2021/09/01
Jalisco,3.0996846,2021/12/01
Jalisco,2.362,2022/03/01
Jalisco,2.34432431,2022/06/01
Jalisco,2.81465104,2022/09/01
Jalisco,2.36227638,2022/12/01
Jalisco,2.15357482,2023/03/01
Jalisco,2.45553772,2023/06/01
Jalisco,2.96040795,2023/09/01
México,5.2270885,2020/03/01
México,5.909075087,2020/06/01
México,6.56509542,2020/09/01
México,6.39335024,2020/12/01
México,6.5094,2021/03/01
México,6.13799529,2021/06/01
México,5.82300101,2021/09/01
México,4.65943417,2021/12/01
México,5.3257,2022/03/01
México,4.21644883,2022/06/01
México,4.83120066,2022/09/01
México,4.46142165,2022/12/01
México,3.37042086,2023/03/01
México,3.64443796,2023/06/01
México,4.0276052,2023/09/01
Michoacán de Ocampo,2.34419829,2020/03/01
Michoacán de Ocampo,3.688959071,2020/06/01
Michoacán de Ocampo,2.55682967,2020/09/01
Michoacán de Ocampo,2.29158906,2020/12/01
Michoacán de Ocampo,2.5427,2021/03/01
Michoacán de Ocampo,1.9845,2021/06/01
Michoacán de Ocampo,2.1976,2021/09/01
Michoacán de Ocampo,2.54179617,2021/12/01
Michoacán de Ocampo,1.6212,2022/03/01
Michoacán de Ocampo,1.72564356,2022/06/01
